#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -13.6058030250      0.0000000000      0.0000000000
    -13.5949183826      0.0000000000      0.0000000000
    -13.5840337402      0.0000000000      0.0000000000
    -13.5731490977      0.0000000000      0.0000000000
    -13.5622644553      0.0000000000      0.0000000000
    -13.5513798129      0.0000000000      0.0000000000
    -13.5404951705      0.0000000000      0.0000000000
    -13.5296105281      0.0000000000      0.0000000000
    -13.5187258856      0.0000000000      0.0000000000
    -13.5078412432      0.0000000000      0.0000000000
    -13.4969566008      0.0000000000      0.0000000000
    -13.4860719584      0.0000000000      0.0000000000
    -13.4751873160      0.0000000000      0.0000000000
    -13.4643026735      0.0000000000      0.0000000000
    -13.4534180311      0.0000000000      0.0000000000
    -13.4425333887      0.0000000000      0.0000000000
    -13.4316487463      0.0000000000      0.0000000000
    -13.4207641039      0.0000000000      0.0000000000
    -13.4098794614      0.0000000000      0.0000000000
    -13.3989948190      0.0000000000      0.0000000000
    -13.3881101766      0.0000000000      0.0000000000
    -13.3772255342      0.0000000000      0.0000000000
    -13.3663408918      0.0000000000      0.0000000000
    -13.3554562493      0.0000000000      0.0000000000
    -13.3445716069      0.0000000000      0.0000000000
    -13.3336869645      0.0000000000      0.0000000000
    -13.3228023221      0.0000000000      0.0000000000
    -13.3119176797      0.0000000000      0.0000000000
    -13.3010330372      0.0000000000      0.0000000000
    -13.2901483948      0.0000000000      0.0000000000
    -13.2792637524      0.0000000000      0.0000000000
    -13.2683791100      0.0000000000      0.0000000000
    -13.2574944676      0.0000000000      0.0000000000
    -13.2466098251      0.0000000000      0.0000000000
    -13.2357251827      0.0000000000      0.0000000000
    -13.2248405403      0.0000000000      0.0000000000
    -13.2139558979      0.0000000000      0.0000000000
    -13.2030712555      0.0000000000      0.0000000000
    -13.1921866130      0.0000000000      0.0000000000
    -13.1813019706      0.0000000000      0.0000000000
    -13.1704173282      0.0000000000      0.0000000000
    -13.1595326858      0.0000000000      0.0000000000
    -13.1486480434      0.0000000000      0.0000000000
    -13.1377634009      0.0000000000      0.0000000000
    -13.1268787585      0.0000000000      0.0000000000
    -13.1159941161      0.0000000000      0.0000000000
    -13.1051094737      0.0000000000      0.0000000000
    -13.0942248313      0.0000000000      0.0000000000
    -13.0833401888      0.0000000000      0.0000000000
    -13.0724555464      0.0000000000      0.0000000000
    -13.0615709040      0.0000000000      0.0000000000
    -13.0506862616      0.0000000000      0.0000000000
    -13.0398016192      0.0000000000      0.0000000000
    -13.0289169767      0.0000000000      0.0000000000
    -13.0180323343      0.0000000000      0.0000000000
    -13.0071476919      0.0000000000      0.0000000000
    -12.9962630495      0.0000000000      0.0000000000
    -12.9853784071      0.0000000000      0.0000000000
    -12.9744937646      0.0000000000      0.0000000000
    -12.9636091222      0.0000000000      0.0000000000
    -12.9527244798      0.0000000000      0.0000000000
    -12.9418398374      0.0000000000      0.0000000000
    -12.9309551950      0.0000000000      0.0000000000
    -12.9200705525      0.0000000000      0.0000000000
    -12.9091859101      0.0000000000      0.0000000000
    -12.8983012677      0.0000000000      0.0000000000
    -12.8874166253      0.0000000000      0.0000000000
    -12.8765319829      0.0000000000      0.0000000000
    -12.8656473404      0.0000000000      0.0000000000
    -12.8547626980      0.0000000000      0.0000000000
    -12.8438780556      0.0000000000      0.0000000000
    -12.8329934132      0.0000000000      0.0000000000
    -12.8221087708      0.0000000000      0.0000000000
    -12.8112241283      0.0000000000      0.0000000000
    -12.8003394859      0.0000000000      0.0000000000
    -12.7894548435      0.0000000000      0.0000000000
    -12.7785702011      0.0000000000      0.0000000000
    -12.7676855587      0.0000000000      0.0000000000
    -12.7568009162      0.0000000000      0.0000000000
    -12.7459162738      0.0000000000      0.0000000000
    -12.7350316314      0.0000000000      0.0000000000
    -12.7241469890      0.0000000000      0.0000000000
    -12.7132623466      0.0000000000      0.0000000000
    -12.7023777041      0.0000000000      0.0000000000
    -12.6914930617      0.0000000000      0.0000000000
    -12.6806084193      0.0000000000      0.0000000000
    -12.6697237769      0.0000000000      0.0000000000
    -12.6588391345      0.0000000000      0.0000000000
    -12.6479544920      0.0000000000      0.0000000000
    -12.6370698496      0.0000000000      0.0000000000
    -12.6261852072      0.0000000000      0.0000000000
    -12.6153005648      0.0000000000      0.0000000000
    -12.6044159224      0.0000000000      0.0000000000
    -12.5935312799      0.0000000000      0.0000000000
    -12.5826466375      0.0000000000      0.0000000000
    -12.5717619951      0.0000000000      0.0000000000
    -12.5608773527      0.0000000000      0.0000000000
    -12.5499927103      0.0000000000      0.0000000000
    -12.5391080678      0.0000000000      0.0000000000
    -12.5282234254      0.0000000000      0.0000000000
    -12.5173387830      0.0000000000      0.0000000000
    -12.5064541406      0.0000000000      0.0000000000
    -12.4955694982      0.0000000000      0.0000000000
    -12.4846848557      0.0000000000      0.0000000000
    -12.4738002133      0.0000000000      0.0000000000
    -12.4629155709      0.0000000000      0.0000000000
    -12.4520309285      0.0000000000      0.0000000000
    -12.4411462861      0.0000000000      0.0000000000
    -12.4302616436      0.0000000000      0.0000000000
    -12.4193770012      0.0000000000      0.0000000000
    -12.4084923588      0.0000000000      0.0000000000
    -12.3976077164      0.0000000000      0.0000000000
    -12.3867230740      0.0000000000      0.0000000000
    -12.3758384315      0.0000000000      0.0000000000
    -12.3649537891      0.0000000000      0.0000000000
    -12.3540691467      0.0000000000      0.0000000000
    -12.3431845043      0.0000000000      0.0000000000
    -12.3322998619      0.0000000000      0.0000000000
    -12.3214152194      0.0000000000      0.0000000000
    -12.3105305770      0.0000000000      0.0000000000
    -12.2996459346      0.0000000000      0.0000000000
    -12.2887612922      0.0000000000      0.0000000000
    -12.2778766498      0.0000000000      0.0000000000
    -12.2669920073      0.0000000000      0.0000000000
    -12.2561073649      0.0000000000      0.0000000000
    -12.2452227225      0.0000000000      0.0000000000
    -12.2343380801      0.0000000000      0.0000000000
    -12.2234534377      0.0000000000      0.0000000000
    -12.2125687952      0.0000000000      0.0000000000
    -12.2016841528      0.0000000000      0.0000000000
    -12.1907995104      0.0000000000      0.0000000000
    -12.1799148680      0.0000000000      0.0000000000
    -12.1690302256      0.0000000000      0.0000000000
    -12.1581455831      0.0000000000      0.0000000000
    -12.1472609407      0.0000000000      0.0000000000
    -12.1363762983      0.0000000000      0.0000000000
    -12.1254916559      0.0000000000      0.0000000000
    -12.1146070135      0.0000000000      0.0000000000
    -12.1037223710      0.0000000000      0.0000000000
    -12.0928377286      0.0000000000      0.0000000000
    -12.0819530862      0.0000000000      0.0000000000
    -12.0710684438      0.0000000000      0.0000000000
    -12.0601838014      0.0000000000      0.0000000000
    -12.0492991589      0.0000000000      0.0000000000
    -12.0384145165      0.0000000000      0.0000000000
    -12.0275298741      0.0000000000      0.0000000000
    -12.0166452317      0.0000000000      0.0000000000
    -12.0057605893      0.0000000000      0.0000000000
    -11.9948759468      0.0000000000      0.0000000000
    -11.9839913044      0.0000000000      0.0000000000
    -11.9731066620      0.0000000000      0.0000000000
    -11.9622220196      0.0000000000      0.0000000000
    -11.9513373772      0.0000000000      0.0000000000
    -11.9404527347      0.0000000000      0.0000000000
    -11.9295680923      0.0000000000      0.0000000000
    -11.9186834499      0.0000000000      0.0000000000
    -11.9077988075      0.0000000000      0.0000000000
    -11.8969141651      0.0000000000      0.0000000000
    -11.8860295226      0.0000000000      0.0000000000
    -11.8751448802      0.0000000000      0.0000000000
    -11.8642602378      0.0000000000      0.0000000000
    -11.8533755954      0.0000000000      0.0000000000
    -11.8424909530      0.0000000000      0.0000000000
    -11.8316063105      0.0000000000      0.0000000000
    -11.8207216681      0.0000000000      0.0000000000
    -11.8098370257      0.0000000000      0.0000000000
    -11.7989523833      0.0000000000      0.0000000000
    -11.7880677409      0.0000000000      0.0000000000
    -11.7771830984      0.0000000000      0.0000000000
    -11.7662984560      0.0000000000      0.0000000000
    -11.7554138136      0.0000000000      0.0000000000
    -11.7445291712      0.0000000000      0.0000000000
    -11.7336445288      0.0000000000      0.0000000000
    -11.7227598863      0.0000000000      0.0000000000
    -11.7118752439      0.0000000000      0.0000000000
    -11.7009906015      0.0000000000      0.0000000000
    -11.6901059591      0.0000000000      0.0000000000
    -11.6792213167      0.0000000000      0.0000000000
    -11.6683366742      0.0000000000      0.0000000000
    -11.6574520318      0.0000000000      0.0000000000
    -11.6465673894      0.0000000000      0.0000000000
    -11.6356827470      0.0000000000      0.0000000000
    -11.6247981046      0.0000000000      0.0000000000
    -11.6139134621      0.0000000000      0.0000000000
    -11.6030288197      0.0000000000      0.0000000000
    -11.5921441773      0.0000000000      0.0000000000
    -11.5812595349      0.0000000000      0.0000000000
    -11.5703748925      0.0000000000      0.0000000000
    -11.5594902500      0.0000000000      0.0000000000
    -11.5486056076      0.0000000000      0.0000000000
    -11.5377209652      0.0000000000      0.0000000000
    -11.5268363228      0.0000000000      0.0000000000
    -11.5159516804      0.0000000000      0.0000000000
    -11.5050670379      0.0000000000      0.0000000000
    -11.4941823955      0.0000000000      0.0000000000
    -11.4832977531      0.0000000000      0.0000000000
    -11.4724131107      0.0000000000      0.0000000000
    -11.4615284683      0.0000000000      0.0000000000
    -11.4506438258      0.0000000000      0.0000000000
    -11.4397591834      0.0000000000      0.0000000000
    -11.4288745410      0.0000000000      0.0000000000
    -11.4179898986      0.0000000000      0.0000000000
    -11.4071052562      0.0000000000      0.0000000000
    -11.3962206137      0.0000000000      0.0000000000
    -11.3853359713      0.0000000000      0.0000000000
    -11.3744513289      0.0000000000      0.0000000000
    -11.3635666865      0.0000000000      0.0000000000
    -11.3526820441      0.0000000000      0.0000000000
    -11.3417974016      0.0000000000      0.0000000000
    -11.3309127592      0.0000000000      0.0000000000
    -11.3200281168      0.0000000000      0.0000000000
    -11.3091434744      0.0000000000      0.0000000000
    -11.2982588320      0.0000000000      0.0000000000
    -11.2873741895      0.0000000000      0.0000000000
    -11.2764895471      0.0000000000      0.0000000000
    -11.2656049047      0.0000000000      0.0000000000
    -11.2547202623      0.0000000000      0.0000000000
    -11.2438356199      0.0000000000      0.0000000000
    -11.2329509774      0.0000000000      0.0000000000
    -11.2220663350      0.0000000000      0.0000000000
    -11.2111816926      0.0000000000      0.0000000000
    -11.2002970502      0.0000000000      0.0000000000
    -11.1894124078      0.0000000000      0.0000000000
    -11.1785277653      0.0000000000      0.0000000000
    -11.1676431229      0.0000000000      0.0000000000
    -11.1567584805      0.0000000000      0.0000000000
    -11.1458738381      0.0000000000      0.0000000000
    -11.1349891957      0.0000000000      0.0000000000
    -11.1241045532      0.0000000000      0.0000000001
    -11.1132199108      0.0000000000      0.0000000001
    -11.1023352684      0.0000000000      0.0000000001
    -11.0914506260      0.0000000000      0.0000000002
    -11.0805659836      0.0000000000      0.0000000003
    -11.0696813411      0.0000000000      0.0000000004
    -11.0587966987      0.0000000000      0.0000000006
    -11.0479120563      0.0000000000      0.0000000009
    -11.0370274139      0.0000000000      0.0000000012
    -11.0261427715      0.0000000000      0.0000000018
    -11.0152581290      0.0000000000      0.0000000025
    -11.0043734866      0.0000000000      0.0000000036
    -10.9934888442      0.0000000000      0.0000000050
    -10.9826042018      0.0000000000      0.0000000071
    -10.9717195594      0.0000000000      0.0000000099
    -10.9608349169      0.0000000000      0.0000000139
    -10.9499502745      0.0000000000      0.0000000193
    -10.9390656321      0.0000000000      0.0000000269
    -10.9281809897      0.0000000000      0.0000000372
    -10.9172963473      0.0000000000      0.0000000514
    -10.9064117048      0.0000000000      0.0000000708
    -10.8955270624      0.0000000000      0.0000000971
    -10.8846424200      0.0000000000      0.0000001329
    -10.8737577776      0.0000000000      0.0000001812
    -10.8628731352      0.0000000000      0.0000002463
    -10.8519884927      0.0000000000      0.0000003336
    -10.8411038503      0.0000000000      0.0000004505
    -10.8302192079      0.0000000000      0.0000006065
    -10.8193345655      0.0000000000      0.0000008139
    -10.8084499231      0.0000000000      0.0000010886
